crime_type,location,victim_gender,victim_age,perpetrator_gender,perpetrator_age,weapon,injury
Kidnapping,Indiranagar,Female,25,Female,65,None,None
Vandalism,Indiranagar,Male,48,Other,39,Spray Paint,Fatal
Burglary,Jayanagar,Male,49,Female,57,Gun,None
Vandalism,Koramangala,Male,70,Other,58,Blunt Object,Fatal
Assault,Jayanagar,Female,29,Other,35,Knife,Fatal
Embezzlement,Jayanagar,Female,62,Male,20,None,Fatal
Assault,Whitefield,Other,32,Female,58,Gun,Fatal
Homicide,Malleswaram,Female,59,Other,54,Blunt Object,Minor
Theft,Whitefield,Other,29,Other,20,Knife,None
Burglary,Whitefield,Male,24,Other,36,Gun,Minor
Arson,Koramangala,Other,55,Other,62,None,Fatal
Assault,Koramangala,Female,18,Female,64,Knife,Fatal
Fraud,Koramangala,Male,56,Male,40,None,None
Arson,Banashankari,Male,44,Female,64,Fire,Minor
Homicide,Electronic City,Male,46,Male,47,Gun,Fatal
Homicide,Jayanagar,Male,31,Male,33,Knife,Minor
Robbery,Yelahanka,Other,50,Male,40,Knife,Minor
Robbery,Hebbal,Other,66,Male,18,Knife,Minor
Embezzlement,Malleswaram,Female,35,Female,65,None,Minor
Homicide,Indiranagar,Other,41,Female,22,Blunt Object,Fatal
Kidnapping,Yelahanka,Other,62,Male,43,Gun,None
Kidnapping,Electronic City,Female,21,Male,19,Gun,Fatal
Vandalism,Whitefield,Female,68,Female,34,None,Minor
Burglary,Koramangala,Male,65,Female,48,Gun,Minor
Homicide,Yelahanka,Other,19,Male,60,Gun,Minor
Arson,Electronic City,Female,60,Male,50,Fire,Minor
Assault,Jayanagar,Male,20,Female,62,Gun,Minor
Kidnapping,Indiranagar,Other,22,Female,40,Knife,None
Kidnapping,Indiranagar,Male,27,Other,42,None,None
Kidnapping,Banashankari,Female,54,Male,56,None,None
Embezzlement,Whitefield,Male,19,Other,47,None,None
Vandalism,Whitefield,Male,18,Female,38,None,None
Assault,Koramangala,Other,56,Female,54,Fists,None
Robbery,Electronic City,Other,19,Male,26,Blunt Object,Fatal
Robbery,Koramangala,Male,65,Male,41,Blunt Object,None
Embezzlement,Electronic City,Male,62,Female,22,None,Minor
Embezzlement,Koramangala,Other,31,Female,49,None,None
Arson,Malleswaram,Other,43,Female,63,Fire,None
Assault,Whitefield,Female,26,Female,27,Gun,Minor
Embezzlement,Hebbal,Male,60,Male,54,None,Minor
Arson,Kamakshipalya,Male,57,Male,22,None,Fatal
Theft,Hebbal,Male,46,Male,42,Gun,Fatal
Vandalism,Jayanagar,Female,59,Male,37,Spray Paint,Fatal
Burglary,Kamakshipalya,Female,21,Other,46,Knife,None
Homicide,Kamakshipalya,Male,52,Male,44,Gun,None
Embezzlement,Indiranagar,Male,26,Female,62,None,Minor
Theft,Electronic City,Other,25,Other,32,None,None
Kidnapping,Koramangala,Female,36,Female,39,Gun,Minor
Homicide,Banashankari,Female,66,Female,63,Gun,Minor
Homicide,Koramangala,Male,66,Male,45,Gun,Fatal
Vandalism,Banashankari,Female,51,Other,23,Spray Paint,Minor
Robbery,Hebbal,Female,29,Other,64,Knife,Fatal
Fraud,Hebbal,Other,52,Male,55,None,None
Burglary,Electronic City,Male,40,Other,43,None,None
Embezzlement,Koramangala,Male,57,Female,47,None,Minor
Arson,Jayanagar,Other,42,Other,38,None,Fatal
Robbery,Koramangala,Female,61,Male,31,Knife,Fatal
Arson,Kamakshipalya,Female,27,Male,20,Fire,None
Robbery,Banashankari,Other,53,Other,40,Knife,Minor
Embezzlement,Electronic City,Male,25,Other,28,None,None
Vandalism,Banashankari,Male,35,Other,55,Blunt Object,Minor
Arson,Indiranagar,Female,58,Other,45,Fire,None
Homicide,Koramangala,Male,29,Other,54,Gun,Minor
Fraud,Indiranagar,Other,47,Male,32,None,None
Homicide,Whitefield,Male,52,Male,54,Blunt Object,Minor
Embezzlement,Jayanagar,Other,18,Male,18,None,Minor
Burglary,Yelahanka,Male,30,Male,38,None,None
Theft,Yelahanka,Other,41,Other,55,Gun,Fatal
Arson,Hebbal,Female,55,Female,49,None,None
Robbery,Hebbal,Other,69,Male,56,Knife,Minor
Burglary,Koramangala,Female,33,Female,24,Knife,None
Assault,Jayanagar,Female,22,Male,57,Fists,None
Vandalism,Banashankari,Other,44,Female,51,Spray Paint,None
Arson,Hebbal,Male,40,Female,36,Fire,Fatal
Arson,Yelahanka,Female,69,Female,27,Fire,None
Kidnapping,Indiranagar,Female,43,Other,21,Knife,None
Vandalism,Indiranagar,Male,38,Male,49,Spray Paint,Fatal
Theft,Yelahanka,Female,64,Female,43,Knife,Minor
Kidnapping,Kamakshipalya,Other,52,Male,48,None,Minor
Fraud,Malleswaram,Male,66,Female,45,None,None
Homicide,Kamakshipalya,Male,29,Male,58,Gun,Minor
Arson,Electronic City,Other,24,Female,55,Fire,Fatal
Fraud,Banashankari,Female,29,Male,45,None,Minor
Fraud,Indiranagar,Female,60,Other,42,None,Minor
Arson,Kamakshipalya,Male,19,Male,68,None,Fatal
Embezzlement,Yelahanka,Other,70,Other,52,None,None
Fraud,Malleswaram,Female,66,Male,63,None,None
Theft,Indiranagar,Female,54,Female,62,Knife,Fatal
Embezzlement,Jayanagar,Female,47,Male,36,None,Fatal
Assault,Electronic City,Female,52,Female,57,Gun,None
Kidnapping,Koramangala,Female,22,Male,53,Gun,Fatal
Embezzlement,Indiranagar,Female,63,Male,58,None,None
Homicide,Jayanagar,Male,70,Female,24,Blunt Object,Minor
Burglary,Electronic City,Male,31,Other,63,None,None
Homicide,Banashankari,Female,58,Male,37,Gun,Minor
Robbery,Electronic City,Male,48,Male,45,Knife,Fatal
Embezzlement,Banashankari,Male,66,Other,38,None,Minor
Robbery,Electronic City,Female,43,Other,44,Knife,Fatal
Assault,Kamakshipalya,Female,48,Other,31,Knife,Minor
Homicide,Koramangala,Female,39,Other,26,Blunt Object,Fatal
Embezzlement,Indiranagar,Female,20,Female,24,None,Minor
Homicide,Indiranagar,Male,56,Male,50,Knife,Fatal
Kidnapping,Koramangala,Other,34,Female,27,None,Minor
Theft,Hebbal,Female,70,Female,48,Knife,Minor
Theft,Jayanagar,Female,24,Male,67,None,Fatal
Burglary,Indiranagar,Other,23,Other,21,Knife,Fatal
Homicide,Indiranagar,Other,39,Other,61,Gun,None
Kidnapping,Koramangala,Male,35,Female,34,None,Minor
Vandalism,Whitefield,Male,44,Female,34,Spray Paint,Fatal
Arson,Kamakshipalya,Male,39,Female,28,Fire,None
Kidnapping,Kamakshipalya,Male,29,Other,25,Knife,Fatal
Assault,Electronic City,Male,55,Male,42,Gun,Fatal
Kidnapping,Yelahanka,Other,21,Other,47,Gun,None
Kidnapping,Malleswaram,Other,29,Other,54,Knife,Fatal
Arson,Hebbal,Male,45,Male,69,Fire,None
Arson,Yelahanka,Male,21,Female,43,Fire,Fatal
Fraud,Malleswaram,Female,44,Female,36,None,Minor
Theft,Whitefield,Female,30,Female,38,Knife,Minor
Arson,Electronic City,Other,33,Female,53,Fire,None
Burglary,Whitefield,Female,37,Other,58,Gun,Fatal
Fraud,Koramangala,Male,35,Male,30,None,Fatal
Burglary,Malleswaram,Other,52,Other,69,None,Minor
Vandalism,Whitefield,Female,42,Male,21,Blunt Object,Minor
Kidnapping,Banashankari,Male,64,Other,63,None,Minor
Vandalism,Kamakshipalya,Male,55,Female,46,None,Minor
Assault,Yelahanka,Other,53,Male,42,Fists,None
Embezzlement,Indiranagar,Other,52,Other,33,None,None
Vandalism,Electronic City,Female,62,Male,54,None,Minor
Burglary,Koramangala,Other,58,Male,46,Gun,Minor
Homicide,Kamakshipalya,Female,19,Male,51,Gun,Minor
Robbery,Whitefield,Male,57,Male,42,Knife,None
Kidnapping,Indiranagar,Male,60,Male,22,None,Fatal
Robbery,Jayanagar,Other,45,Other,68,Knife,Minor
Robbery,Electronic City,Female,22,Other,33,Gun,None
Assault,Whitefield,Male,43,Other,51,Fists,None
Arson,Electronic City,Other,68,Other,35,None,Minor
Theft,Yelahanka,Female,63,Female,51,Gun,Fatal
Fraud,Koramangala,Female,39,Other,44,None,Minor
Assault,Kamakshipalya,Male,49,Male,60,Fists,None
Robbery,Koramangala,Female,44,Other,39,Knife,Fatal
Fraud,Malleswaram,Female,26,Female,69,None,Fatal
Theft,Hebbal,Other,48,Male,47,None,None
Homicide,Electronic City,Male,41,Other,23,Blunt Object,Minor
Kidnapping,Whitefield,Female,55,Male,46,None,Minor
Kidnapping,Koramangala,Female,36,Other,68,None,Fatal
Assault,Hebbal,Female,32,Male,25,Fists,None
Robbery,Koramangala,Other,66,Other,42,Blunt Object,Minor
Homicide,Kamakshipalya,Other,56,Male,40,Blunt Object,Fatal
Arson,Koramangala,Female,46,Male,47,Fire,None
Embezzlement,Whitefield,Female,34,Female,56,None,Minor
Embezzlement,Jayanagar,Female,28,Female,62,None,Fatal
Homicide,Jayanagar,Female,29,Male,54,Gun,Minor
Homicide,Whitefield,Male,36,Female,37,Gun,Fatal
Homicide,Yelahanka,Male,41,Female,27,Gun,Fatal
Fraud,Yelahanka,Male,50,Other,47,None,None
Theft,Yelahanka,Other,34,Female,42,Knife,Minor
Homicide,Malleswaram,Female,59,Female,26,Knife,None
Assault,Yelahanka,Other,29,Male,35,Knife,Fatal
Theft,Hebbal,Other,41,Male,33,Gun,Minor
Arson,Electronic City,Male,45,Female,19,Fire,Minor
Arson,Banashankari,Other,60,Male,54,Fire,None
Theft,Indiranagar,Other,33,Other,56,None,Minor
Vandalism,Banashankari,Male,19,Other,31,Blunt Object,None
Vandalism,Hebbal,Male,69,Female,20,None,Minor
Embezzlement,Banashankari,Female,55,Male,37,None,None
Arson,Whitefield,Female,28,Other,47,None,None
Kidnapping,Jayanagar,Female,20,Male,60,Gun,Minor
Burglary,Whitefield,Female,54,Other,42,None,None
Arson,Kamakshipalya,Male,57,Other,50,Fire,Fatal
Arson,Yelahanka,Male,44,Male,58,Fire,Minor
Assault,Koramangala,Female,29,Male,64,Gun,Minor
Robbery,Electronic City,Other,30,Male,35,Knife,None
Theft,Malleswaram,Male,45,Female,25,Knife,None
Fraud,Yelahanka,Other,46,Other,29,None,Minor
Fraud,Koramangala,Female,59,Male,38,None,None
Embezzlement,Whitefield,Female,36,Other,33,None,Fatal
Robbery,Hebbal,Female,39,Female,36,Gun,Fatal
Kidnapping,Hebbal,Other,47,Other,56,Gun,Fatal
Kidnapping,Electronic City,Male,45,Female,28,Knife,None
Vandalism,Indiranagar,Female,37,Female,35,None,Fatal
Kidnapping,Indiranagar,Other,32,Female,34,Gun,None
Burglary,Electronic City,Male,24,Female,33,None,Minor
Vandalism,Yelahanka,Other,44,Male,42,Spray Paint,Fatal
Homicide,Hebbal,Female,25,Other,38,Knife,None
Burglary,Indiranagar,Female,67,Female,65,Gun,None
Homicide,Whitefield,Other,30,Male,26,Blunt Object,Fatal
Burglary,Whitefield,Male,36,Other,43,None,Fatal
Kidnapping,Malleswaram,Male,44,Female,45,None,Fatal
Embezzlement,Malleswaram,Male,70,Male,22,None,None
Arson,Banashankari,Other,43,Other,69,Fire,None
Arson,Koramangala,Female,23,Male,24,None,Fatal
Burglary,Whitefield,Other,43,Male,69,Gun,None
Theft,Jayanagar,Female,66,Other,22,Knife,Minor
Homicide,Jayanagar,Male,67,Female,18,Knife,Fatal
Assault,Whitefield,Male,37,Other,25,Fists,Minor
Kidnapping,Yelahanka,Other,60,Male,35,Gun,Fatal
Theft,Whitefield,Male,63,Male,39,None,Fatal
Arson,Kamakshipalya,Female,42,Other,29,None,None
Burglary,Jayanagar,Other,69,Other,41,None,Fatal
Robbery,Jayanagar,Female,52,Male,66,Knife,Fatal
Burglary,Kamakshipalya,Female,24,Other,50,None,Minor
Embezzlement,Yelahanka,Other,38,Other,37,None,None
Kidnapping,Indiranagar,Male,52,Other,37,None,Minor
Burglary,Hebbal,Other,66,Female,22,None,Fatal
Burglary,Banashankari,Other,56,Female,64,Gun,Minor
Assault,Yelahanka,Other,29,Male,52,Knife,Minor
Homicide,Jayanagar,Female,34,Other,42,Gun,Minor
Arson,Hebbal,Other,29,Male,59,Fire,Fatal
Homicide,Jayanagar,Female,55,Male,20,Gun,Fatal
Burglary,Yelahanka,Other,51,Other,61,Gun,Minor
Vandalism,Hebbal,Male,23,Female,51,Blunt Object,Fatal
Arson,Whitefield,Female,55,Other,31,Fire,Minor
Fraud,Kamakshipalya,Other,48,Female,57,None,Minor
Homicide,Yelahanka,Other,42,Male,37,Blunt Object,Minor
Arson,Koramangala,Male,55,Other,28,Fire,Minor
Burglary,Kamakshipalya,Other,29,Female,28,None,Minor
Robbery,Koramangala,Other,19,Other,29,Blunt Object,Minor
Vandalism,Indiranagar,Other,28,Male,36,Blunt Object,None
Robbery,Malleswaram,Male,48,Female,31,Blunt Object,Fatal
Assault,Kamakshipalya,Male,25,Male,61,Knife,Fatal
Arson,Yelahanka,Male,56,Male,32,Fire,Fatal
Burglary,Koramangala,Other,63,Male,18,None,Minor
Assault,Malleswaram,Other,31,Male,66,Fists,Minor
Burglary,Kamakshipalya,Female,32,Female,41,None,None
Assault,Jayanagar,Male,43,Male,61,Fists,None
Robbery,Banashankari,Female,58,Other,61,Blunt Object,Minor
Assault,Jayanagar,Female,59,Female,23,Gun,Fatal
Theft,Jayanagar,Other,67,Female,19,None,None
Arson,Hebbal,Female,46,Female,30,Fire,None
Embezzlement,Yelahanka,Other,49,Male,60,None,None
Burglary,Malleswaram,Male,31,Other,23,Knife,Minor
Homicide,Indiranagar,Other,67,Male,52,Gun,Minor
Embezzlement,Yelahanka,Other,19,Other,44,None,Minor
Homicide,Whitefield,Female,47,Female,19,Gun,None
Kidnapping,Koramangala,Male,33,Other,33,None,None
Arson,Hebbal,Male,44,Other,35,Fire,Fatal
Assault,Kamakshipalya,Other,63,Male,56,Knife,None
Embezzlement,Malleswaram,Female,61,Male,18,None,None
Burglary,Kamakshipalya,Female,19,Male,46,Gun,Minor
Vandalism,Kamakshipalya,Other,58,Female,52,None,Fatal
Robbery,Koramangala,Other,30,Male,43,Gun,Minor
Robbery,Electronic City,Male,30,Other,39,Blunt Object,Fatal
Robbery,Electronic City,Male,39,Other,67,Blunt Object,None
Robbery,Whitefield,Female,51,Other,55,Blunt Object,Fatal
Fraud,Indiranagar,Other,54,Other,54,None,Fatal
Fraud,Kamakshipalya,Other,19,Female,52,None,Minor
Embezzlement,Whitefield,Other,24,Other,24,None,Fatal
Fraud,Yelahanka,Other,57,Other,23,None,Fatal
Arson,Banashankari,Other,45,Other,55,Fire,Fatal
Embezzlement,Indiranagar,Male,68,Other,47,None,None
Vandalism,Electronic City,Female,53,Other,58,None,Minor
Theft,Indiranagar,Other,38,Female,56,Knife,Fatal
Fraud,Hebbal,Other,20,Male,64,None,Minor
Theft,Yelahanka,Male,35,Other,68,None,Minor
Robbery,Electronic City,Other,44,Male,65,Gun,None
Arson,Whitefield,Female,54,Male,47,Fire,Fatal
Robbery,Banashankari,Male,32,Female,67,Blunt Object,Fatal
Assault,Electronic City,Female,67,Male,30,Knife,Fatal
Vandalism,Koramangala,Female,69,Female,60,None,None
Arson,Koramangala,Male,62,Male,24,Fire,Fatal
Arson,Indiranagar,Male,56,Female,43,Fire,Minor
Assault,Kamakshipalya,Female,24,Other,63,Gun,Minor
Theft,Hebbal,Female,44,Female,24,None,Fatal
Embezzlement,Banashankari,Male,19,Male,63,None,Fatal
Embezzlement,Yelahanka,Female,61,Male,24,None,Fatal
Homicide,Malleswaram,Female,22,Female,23,Blunt Object,None
Vandalism,Whitefield,Other,70,Other,56,Spray Paint,None
Assault,Banashankari,Male,41,Other,51,Knife,Minor
Arson,Indiranagar,Male,31,Female,47,Fire,Minor
Homicide,Hebbal,Female,51,Male,51,Gun,Minor
Arson,Yelahanka,Other,39,Male,44,Fire,Fatal
Embezzlement,Electronic City,Male,42,Other,49,None,None
Embezzlement,Electronic City,Male,19,Male,65,None,Minor
Fraud,Malleswaram,Female,55,Female,21,None,Minor
Vandalism,Malleswaram,Other,42,Other,22,None,Fatal
Kidnapping,Hebbal,Male,30,Other,67,Knife,None
Homicide,Banashankari,Male,21,Other,69,Blunt Object,None
Assault,Malleswaram,Other,54,Other,28,Knife,None
Theft,Malleswaram,Male,20,Male,64,None,Fatal
Embezzlement,Kamakshipalya,Female,41,Other,27,None,Minor
Robbery,Malleswaram,Male,30,Other,28,Gun,Minor
Homicide,Whitefield,Other,47,Other,44,Blunt Object,None
Theft,Banashankari,Female,21,Male,38,Knife,None
Fraud,Kamakshipalya,Male,31,Male,68,None,None
Vandalism,Indiranagar,Male,38,Female,29,Spray Paint,Minor
Fraud,Electronic City,Other,44,Other,69,None,Fatal
Arson,Yelahanka,Other,51,Other,19,None,Fatal
Homicide,Indiranagar,Female,35,Other,38,Knife,Minor
Homicide,Koramangala,Other,56,Female,43,Blunt Object,None
Assault,Yelahanka,Female,50,Other,35,Gun,Minor
Assault,Hebbal,Other,42,Male,21,Knife,None
Burglary,Banashankari,Female,29,Female,57,Gun,None
Arson,Indiranagar,Other,65,Other,43,Fire,None
Fraud,Indiranagar,Other,31,Male,33,None,Fatal
Burglary,Hebbal,Female,29,Female,67,Knife,None
Theft,Whitefield,Other,44,Female,60,Knife,None
Kidnapping,Whitefield,Female,31,Male,32,Knife,Minor
Embezzlement,Yelahanka,Male,38,Other,34,None,None
Homicide,Malleswaram,Male,25,Male,26,Knife,None
Kidnapping,Koramangala,Other,23,Male,23,Gun,Fatal
Embezzlement,Banashankari,Female,61,Male,66,None,None
Arson,Hebbal,Other,48,Female,21,None,Minor
Burglary,Hebbal,Male,43,Female,38,None,Fatal
Arson,Whitefield,Female,28,Male,30,None,None
Theft,Hebbal,Other,52,Male,54,Knife,Minor
Arson,Banashankari,Male,67,Other,63,None,Minor
Burglary,Whitefield,Female,62,Other,26,Knife,Fatal
Theft,Jayanagar,Other,39,Male,65,Knife,Fatal
Fraud,Banashankari,Female,23,Other,38,None,Minor
Assault,Yelahanka,Male,54,Male,59,Gun,Minor
Vandalism,Indiranagar,Female,61,Other,20,Spray Paint,Fatal
Burglary,Malleswaram,Male,34,Male,47,Knife,Fatal
Robbery,Indiranagar,Female,53,Female,54,Blunt Object,Fatal
Vandalism,Indiranagar,Female,43,Other,25,None,Minor
Homicide,Yelahanka,Female,39,Female,65,Blunt Object,Fatal
Burglary,Yelahanka,Male,59,Male,57,Gun,None
Assault,Banashankari,Male,67,Female,30,Gun,None
Embezzlement,Whitefield,Male,20,Other,55,None,Minor
Theft,Yelahanka,Female,18,Male,45,Knife,None
Arson,Jayanagar,Female,51,Other,58,Fire,Fatal
Robbery,Koramangala,Other,22,Male,39,Knife,None
Fraud,Banashankari,Male,21,Male,45,None,None
Assault,Kamakshipalya,Male,40,Female,25,Knife,None
Kidnapping,Whitefield,Male,50,Other,20,None,Fatal
Homicide,Malleswaram,Male,36,Male,34,Knife,Fatal
Homicide,Electronic City,Other,19,Other,56,Gun,None
Burglary,Kamakshipalya,Other,60,Female,37,Knife,Fatal
Homicide,Banashankari,Female,57,Other,52,Blunt Object,Fatal
Homicide,Hebbal,Male,39,Other,26,Knife,Fatal
Kidnapping,Malleswaram,Female,67,Male,55,Gun,Fatal
Vandalism,Indiranagar,Other,31,Male,45,Blunt Object,None
Theft,Malleswaram,Female,69,Female,44,Gun,None
Theft,Hebbal,Other,58,Male,60,None,None
Kidnapping,Kamakshipalya,Male,34,Male,40,None,None
Assault,Electronic City,Other,42,Other,54,Fists,Fatal
Vandalism,Malleswaram,Female,26,Other,68,Blunt Object,Minor
Homicide,Electronic City,Female,38,Male,33,Knife,None
Arson,Koramangala,Other,49,Other,60,Fire,Minor
Vandalism,Indiranagar,Male,24,Male,47,Blunt Object,Minor
Embezzlement,Koramangala,Other,69,Other,61,None,Minor
Kidnapping,Kamakshipalya,Female,34,Other,29,Gun,Fatal
Homicide,Yelahanka,Female,42,Other,68,Blunt Object,None
Homicide,Koramangala,Male,27,Female,53,Knife,Fatal
Arson,Electronic City,Other,44,Female,32,Fire,None
Burglary,Banashankari,Other,28,Other,60,None,Minor
Arson,Kamakshipalya,Male,26,Other,25,None,Minor
Robbery,Yelahanka,Other,42,Other,21,Knife,None
Theft,Malleswaram,Female,67,Male,30,Gun,Fatal
Robbery,Hebbal,Other,22,Female,58,Blunt Object,Minor
Assault,Kamakshipalya,Male,21,Other,18,Fists,Minor
Fraud,Banashankari,Male,34,Male,57,None,Fatal
Arson,Kamakshipalya,Female,52,Female,37,Fire,Minor
Fraud,Banashankari,Male,32,Other,37,None,None
Embezzlement,Malleswaram,Female,39,Other,65,None,None
Burglary,Indiranagar,Other,21,Other,58,Gun,None
Fraud,Kamakshipalya,Male,62,Other,37,None,Fatal
Embezzlement,Whitefield,Other,51,Male,26,None,None
Burglary,Hebbal,Female,26,Female,46,None,Fatal
Embezzlement,Yelahanka,Other,68,Male,46,None,None
Arson,Electronic City,Male,22,Male,41,Fire,None
Embezzlement,Electronic City,Other,19,Female,48,None,Fatal
Homicide,Whitefield,Male,47,Female,52,Gun,None
Theft,Malleswaram,Other,65,Other,41,Knife,Fatal
Arson,Yelahanka,Male,65,Female,29,Fire,None
Arson,Jayanagar,Female,39,Female,32,None,Minor
Fraud,Jayanagar,Female,34,Other,31,None,Fatal
Burglary,Banashankari,Female,28,Male,70,Knife,None
Vandalism,Whitefield,Female,42,Female,26,Spray Paint,None
Theft,Whitefield,Other,25,Male,39,Gun,Fatal
Vandalism,Hebbal,Female,37,Other,59,None,Fatal
Theft,Koramangala,Male,56,Female,22,Gun,None
Burglary,Koramangala,Female,30,Male,34,Gun,Minor
Vandalism,Yelahanka,Male,26,Female,30,Blunt Object,Minor
Robbery,Jayanagar,Other,48,Male,62,Gun,Minor
Assault,Jayanagar,Female,47,Male,46,Knife,None
Embezzlement,Hebbal,Male,22,Other,65,None,Minor
Vandalism,Hebbal,Male,50,Other,30,Spray Paint,Fatal
Arson,Whitefield,Female,56,Male,49,None,Fatal
Fraud,Electronic City,Female,65,Male,38,None,None
Theft,Hebbal,Female,23,Male,41,Knife,None
Homicide,Banashankari,Female,24,Other,47,Gun,Fatal
Arson,Whitefield,Male,41,Female,37,None,Minor
Kidnapping,Kamakshipalya,Female,36,Female,32,Knife,Fatal
Assault,Hebbal,Female,35,Other,62,Knife,Minor
Burglary,Kamakshipalya,Female,53,Female,64,None,Minor
Embezzlement,Kamakshipalya,Other,70,Male,64,None,Minor
Arson,Hebbal,Male,68,Other,42,None,Minor
Assault,Yelahanka,Male,67,Other,41,Fists,Fatal
Kidnapping,Electronic City,Other,31,Female,56,None,None
Assault,Kamakshipalya,Other,37,Other,36,Gun,None
Fraud,Hebbal,Male,62,Other,25,None,Minor
Fraud,Hebbal,Female,43,Male,22,None,None
Theft,Banashankari,Other,23,Female,46,Knife,Minor
Fraud,Malleswaram,Other,47,Other,58,None,None
Robbery,Kamakshipalya,Male,27,Male,51,Gun,None
Fraud,Banashankari,Other,60,Male,32,None,None
Homicide,Indiranagar,Other,61,Male,22,Blunt Object,None
Homicide,Jayanagar,Male,48,Other,36,Gun,Minor
Kidnapping,Electronic City,Male,49,Female,65,None,None
Homicide,Whitefield,Other,38,Male,19,Gun,Fatal
Fraud,Yelahanka,Other,29,Female,51,None,Fatal
Homicide,Electronic City,Male,50,Female,22,Gun,None
Embezzlement,Malleswaram,Other,59,Male,51,None,Minor
Kidnapping,Kamakshipalya,Female,70,Other,37,None,None
Embezzlement,Kamakshipalya,Female,29,Other,64,None,Minor
Vandalism,Whitefield,Other,24,Other,40,None,None
Theft,Kamakshipalya,Male,43,Male,45,None,None
Fraud,Whitefield,Other,41,Female,69,None,Fatal
Vandalism,Jayanagar,Male,22,Other,43,None,None
Assault,Indiranagar,Female,66,Male,65,Knife,Minor
Vandalism,Indiranagar,Male,47,Other,37,None,Minor
Burglary,Whitefield,Female,56,Male,47,Gun,Minor
Burglary,Hebbal,Female,47,Other,26,None,Minor
Robbery,Jayanagar,Other,67,Female,27,Gun,Fatal
Theft,Electronic City,Other,33,Male,49,Knife,Minor
Assault,Electronic City,Other,58,Male,64,Knife,Minor
Theft,Yelahanka,Male,39,Male,48,None,Minor
Burglary,Hebbal,Other,49,Female,53,Gun,Fatal
Fraud,Jayanagar,Female,52,Male,23,None,Minor
Assault,Kamakshipalya,Female,23,Other,38,Knife,Fatal
Vandalism,Banashankari,Other,23,Other,46,Spray Paint,Minor
Fraud,Whitefield,Male,19,Male,41,None,Minor
Kidnapping,Koramangala,Male,55,Other,56,Knife,Fatal
Arson,Indiranagar,Female,45,Female,32,None,Fatal
Vandalism,Yelahanka,Other,19,Other,59,Blunt Object,Minor
Arson,Banashankari,Female,66,Female,46,None,Fatal
Vandalism,Kamakshipalya,Other,25,Male,45,Spray Paint,Fatal
Homicide,Malleswaram,Other,24,Other,51,Blunt Object,None
Theft,Hebbal,Other,70,Other,68,None,None
Burglary,Jayanagar,Other,47,Male,61,Knife,Minor
Burglary,Banashankari,Female,28,Female,57,Gun,Fatal
Assault,Banashankari,Other,63,Female,56,Gun,Minor
Vandalism,Indiranagar,Other,69,Male,26,Blunt Object,Minor
Fraud,Banashankari,Female,34,Female,37,None,None
Arson,Banashankari,Other,50,Other,44,Fire,Minor
Vandalism,Hebbal,Male,36,Male,37,Blunt Object,None
Vandalism,Indiranagar,Other,40,Male,61,None,Minor
Arson,Malleswaram,Male,31,Male,51,None,Minor
Kidnapping,Jayanagar,Other,21,Female,63,Knife,Fatal
Assault,Electronic City,Male,40,Female,59,Gun,Fatal
Homicide,Electronic City,Female,61,Other,53,Blunt Object,Minor
Fraud,Whitefield,Male,21,Other,21,None,Fatal
Burglary,Indiranagar,Female,27,Male,31,None,None
Homicide,Banashankari,Other,49,Female,30,Gun,None
Burglary,Hebbal,Other,29,Female,62,Gun,None
Homicide,Electronic City,Male,41,Female,40,Gun,None
Theft,Indiranagar,Other,66,Female,46,None,None
Kidnapping,Hebbal,Male,66,Female,22,Gun,Minor
Burglary,Electronic City,Female,65,Other,34,Gun,Minor
Theft,Electronic City,Male,66,Other,44,None,Fatal
Vandalism,Banashankari,Other,56,Other,62,None,Fatal
Homicide,Hebbal,Male,70,Other,49,Blunt Object,Minor
Embezzlement,Yelahanka,Other,70,Other,45,None,None
Fraud,Hebbal,Other,19,Female,20,None,None
Homicide,Yelahanka,Female,57,Male,24,Blunt Object,Minor
Homicide,Malleswaram,Other,31,Male,53,Gun,Fatal
Homicide,Electronic City,Male,22,Male,61,Knife,Minor
Assault,Whitefield,Other,31,Other,52,Gun,Fatal
Robbery,Banashankari,Other,35,Other,37,Knife,None
Fraud,Whitefield,Female,39,Male,63,None,Fatal
Kidnapping,Koramangala,Female,38,Other,62,Gun,Fatal
Arson,Indiranagar,Female,57,Other,44,Fire,Fatal
Fraud,Whitefield,Female,33,Female,51,None,Fatal
Vandalism,Yelahanka,Female,22,Female,60,None,Minor
Kidnapping,Whitefield,Female,48,Other,37,Knife,Fatal
Burglary,Kamakshipalya,Male,27,Male,31,None,None
Embezzlement,Whitefield,Female,58,Male,58,None,None
Fraud,Yelahanka,Female,61,Male,50,None,Fatal
Fraud,Malleswaram,Other,61,Male,28,None,None
Fraud,Malleswaram,Male,19,Male,61,None,Minor
Theft,Whitefield,Other,61,Male,65,Gun,Fatal
Robbery,Whitefield,Male,56,Other,65,Blunt Object,Minor
Assault,Yelahanka,Female,45,Male,68,Knife,None
Fraud,Koramangala,Other,47,Other,26,None,Minor
Kidnapping,Hebbal,Other,21,Female,54,None,Minor
Embezzlement,Jayanagar,Other,18,Female,38,None,Minor
Fraud,Kamakshipalya,Male,27,Other,31,None,Fatal
Assault,Jayanagar,Female,42,Other,19,Knife,Fatal
Vandalism,Indiranagar,Female,58,Male,33,Blunt Object,Minor
